Provinsi,R502a_pju_surya_2024,R502a_pju_surya_2024_no,R502a_pju_surya_2024_total,R502a_pju_surya_2021,R502a_pju_surya_2021_no,R502a_pju_surya_2021_total,R502a_pju_surya_2024_pct,R502a_pju_surya_2021_pct,R501c_keluarga_surya_2024,R501c_keluarga_surya_2024_no,R501c_keluarga_surya_2024_total,R501c_keluarga_surya_2021,R501c_keluarga_surya_2021_no,R501c_keluarga_surya_2021_total,R501c_keluarga_surya_2024_pct,R501c_keluarga_surya_2021_pct,R503a6_bioenergi_2024,R503a6_bioenergi_2024_no,R503a6_bioenergi_2024_total,R503a6_bioenergi_2021,R503a6_bioenergi_2021_no,R503a6_bioenergi_2021_total,R503a6_bioenergi_2024_pct,R503a6_bioenergi_2021_pct,R510_air_2024,R510_air_2024_no,R510_air_2024_total,R510_air_2021,R510_air_2021_no,R510_air_2021_total,R510_air_2024_pct,R510_air_2021_pct,R511_potensi_air_2024,R511_potensi_air_2024_no,R511_potensi_air_2024_total,R511_potensi_air_2021,R511_potensi_air_2021_no,R511_potensi_air_2021_total,R511_potensi_air_2024_pct,R511_potensi_air_2021_pct,tambang_2024,tambang_2024_no,tambang_2024_total,tambang_2021,tambang_2021_no,tambang_2021_total,tambang_2024_pct,tambang_2021_pct,R501a2_non_pln_2024,R501a2_non_pln_2024_total,R501a2_non_pln_2024_no,R501a2_non_pln_2021,R501a2_non_pln_2021_no,R501a2_non_pln_2021_total,R501a2_non_pln_2024_pct,R501a2_non_pln_2021_pct,R1503a_infra_2024,R1503a_infra_2024_total,R1503a_infra_2024_no,R1503a_infra_2021,R1503a_infra_2021_no,R1503a_infra_2021_total,R1503a_infra_2024_pct,R1503a_infra_2021_pct,R1403g_potensi_air_2024,R1403g_potensi_air_2024_no,R1403g_potensi_air_2024_total,R1403g_potensi_air_2021,R1403g_potensi_air_2021_no,R1403g_potensi_air_2021_total,R1403g_potensi_air_2024_pct,R1403g_potensi_air_2021_pct,R514_polusi_air_2024,R514_polusi_air_2024_no,R514_polusi_air_2024_total,R514_polusi_air_2021,R514_polusi_air_2021_no,R514_polusi_air_2021_total,R514_polusi_air_2024_pct,R514_polusi_air_2021_pct,R1504a_program_ebt_2024,R1504a_program_ebt_2024_total,R1504a_program_ebt_2024_no,R1504a_program_ebt_2021,R1504a_program_ebt_2021_no,R1504a_program_ebt_2021_total,R1504a_program_ebt_2024_pct,R1504a_program_ebt_2021_pct,R501b_tanpa_listrik_2024,R501b_tanpa_listrik_2024_total,R501b_tanpa_listrik_2024_no,R501b_tanpa_listrik_2021,R501b_tanpa_listrik_2021_no,R501b_tanpa_listrik_2021_total,R501b_tanpa_listrik_2024_pct,R501b_tanpa_listrik_2021_pct,R502a_pju_surya_growth,R501c_keluarga_surya_growth,R503a6_bioenergi_growth,R510_air_growth,tambang_growth,R501a2_non_pln_growth,R1503a_infra_growth,R1403g_potensi_air_growth,R514_polusi_air_growth,R1504a_program_ebt_growth,R501b_tanpa_listrik_growth,risk_no_electricity,risk_non_pln,risk_no_program,risk_no_infra,risk_pollution,risk_no_electricity_norm,risk_non_pln_norm,risk_no_program_norm,risk_no_infra_norm,risk_pollution_norm,ike_score
ACEH,1524.0,4992.0,6516.0,1530.0,4984.0,6514.0,23.39,23.49,48.0,91.0,6377.0,6516.0,78.0,108.0,0.75,6033.33,7.0,6509.0,6516.0,18.0,6496.0,6514.0,0.11,0.28,8.0,2.0,1.0,0.0,14.0,3.0,800.0,0.0,3631.0,3001.0,201.0,217.0,3601.0,2737.0,1806.47,7.93,432.0,6084.0,6516.0,426.0,6088.0,6514.0,6.63,6.54,2681.0,2636.0,-45.0,0.0,0.0,0.0,101.71,0.0,398.0,6516.0,6118.0,0,0,0,6.11,0.0,0.0,985.0,5531.0,6516.0,0.0,907.0,0.0,718.41,308.0,6208.0,6516.0,350.0,6164.0,6514.0,4.73,5.37,225.0,6516.0,6291.0,0,0,0,3.45,0.0,3988.0,5647.0,1659.0,0.0,0.0,0.0,70.62,0.0,-0.39,-99.26,-61.11,800.0,1.41,268100.0,39800.0,-100.0,-12.0,22500.0,398800.0,70.62,101.71,96.55,93.89,4.73,4.482016717122675e-06,8.689894398687673e-06,0.7510822510822509,0.7935113213923624,0.13041080783016268,33.5
BALI,137.0,580.0,717.0,145.0,571.0,716.0,19.11,20.25,2.0,34.0,681.0,717.0,1.0,20.0,0.29,3585.0,6.0,711.0,717.0,8.0,708.0,716.0,0.84,1.12,4.0,1.0,0.0,0.0,6.0,0.0,400.0,0.0,643.0,522.0,53.0,61.0,660.0,529.0,1213.21,11.53,64.0,653.0,717.0,67.0,649.0,716.0,8.93,9.36,341.0,178.0,-163.0,0.0,0.0,0.0,191.57,0.0,70.0,717.0,647.0,0,0,0,9.76,0.0,80.0,305.0,332.0,717.0,80.0,288.0,24.1,248.96,119.0,598.0,717.0,82.0,634.0,716.0,16.6,11.45,44.0,717.0,673.0,0,0,0,6.14,0.0,17.0,157.0,140.0,0.0,0.0,0.0,10.83,0.0,-5.52,-99.72,-25.0,400.0,-4.48,34100.0,7000.0,-88.84,45.12,4400.0,1700.0,10.83,191.57,93.86,90.24,16.6,6.873441099750576e-07,1.636734903113359e-05,0.5569985569985569,0.6701588374450826,0.4576785221946512,33.7
BANTEN,460.0,1092.0,1552.0,377.0,1175.0,1552.0,29.64,24.29,5.0,32.0,1515.0,1552.0,12.0,34.0,0.33,4564.71,14.0,1538.0,1552.0,6.0,1546.0,1552.0,0.9,0.39,2.0,0.0,0.0,1.0,2.0,3.0,200.0,33.33,1184.0,930.0,155.0,375.0,1240.0,932.0,763.87,40.24,152.0,1400.0,1552.0,154.0,1398.0,1552.0,9.79,9.92,1898.0,1771.0,-127.0,0.0,0.0,0.0,107.17,0.0,128.0,1552.0,1424.0,0,0,0,8.25,0.0,314.0,152.0,1086.0,1552.0,314.0,127.0,28.91,1222.05,319.0,1233.0,1552.0,257.0,1295.0,1552.0,20.55,16.56,133.0,1552.0,1419.0,0,0,0,8.57,0.0,4360.0,8608.0,4248.0,0.0,0.0,0.0,50.65,0.0,22.02,-99.68,133.33,100.0,-1.3,189800.0,12800.0,-79.77,24.12,13300.0,436000.0,50.65,107.17,91.43,91.75,20.55,3.2145871810006155e-06,9.156385632753495e-06,0.38167388167388216,0.7211895910780669,0.5665839536807279,33.39
BENGKULU,585.0,929.0,1514.0,366.0,1148.0,1514.0,38.64,24.17,10.0,112.0,1392.0,1514.0,16.0,111.0,0.72,1363.96,0.0,1514.0,1514.0,1.0,1513.0,1514.0,0.0,0.07,11.0,0.0,7.0,0.0,15.0,1.0,157.14,0.0,1265.0,549.0,93.0,107.0,1262.0,579.0,1360.22,18.48,189.0,1325.0,1514.0,218.0,1296.0,1514.0,12.48,14.4,3497.0,4022.0,525.0,0.0,0.0,0.0,86.95,0.0,77.0,1514.0,1437.0,0,0,0,5.09,0.0,172.0,364.0,978.0,1514.0,172.0,360.0,17.59,420.56,219.0,1295.0,1514.0,163.0,1351.0,1514.0,14.46,10.77,53.0,1514.0,1461.0,0,0,0,3.5,0.0,2162.0,4424.0,2262.0,0.0,0.0,0.0,48.87,0.0,59.84,-99.34,-100.0,1100.0,-13.3,349700.0,7700.0,-88.64,34.36,5300.0,216200.0,48.87,86.95,96.5,94.91,14.46,3.101616496258639e-06,7.428830183520728e-06,0.7474747474747475,0.8279824264954375,0.3986765922249793,39.48
DI YOGYAKARTA,250.0,188.0,438.0,182.0,256.0,438.0,57.08,41.55,2.0,32.0,404.0,438.0,3.0,18.0,0.5,2433.33,31.0,407.0,438.0,39.0,399.0,438.0,7.08,8.9,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,368.0,302.0,71.0,101.0,365.0,294.0,518.31,34.35,135.0,303.0,438.0,139.0,299.0,438.0,30.82,31.74,71.0,102.0,31.0,0.0,0.0,0.0,69.61,0.0,80.0,438.0,358.0,0,0,0,18.26,0.0,46.0,144.0,248.0,438.0,46.0,128.0,18.55,342.19,78.0,360.0,438.0,76.0,362.0,438.0,17.81,17.35,58.0,438.0,380.0,0,0,0,13.24,0.0,29.0,360.0,331.0,0.0,0.0,0.0,8.06,0.0,37.36,-99.54,-20.51,0.0,-2.88,7100.0,8000.0,-89.5,2.63,5800.0,2900.0,8.06,69.61,86.76,81.74,17.81,5.115414151799598e-07,5.947336044564437e-06,0.04473304473304506,0.382899628252788,0.4910394265232974,18.37
DKI JAKARTA,63.0,204.0,267.0,59.0,208.0,267.0,23.6,22.1,0.0,26.0,241.0,267.0,13.0,11.0,0.0,2427.27,7.0,260.0,267.0,10.0,257.0,267.0,2.62,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,9.0,38.0,22.0,217.0,12.0,431.58,183.33,0.0,267.0,267.0,0.0,267.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,267.0,188.0,0,0,0,29.59,0.0,267.0,0.0,0.0,267.0,267.0,0.0,26700.0,26700.0,74.0,193.0,267.0,78.0,189.0,267.0,27.72,29.21,37.0,267.0,230.0,0,0,0,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,-100.0,-30.0,0.0,0.0,0.0,7900.0,0.0,-5.13,3700.0,0.0,0.0,0.0,86.14,70.41,27.72,0.0,0.0,0.0,0.0,0.7642679900744416,15.29
GORONTALO,522.0,210.0,732.0,488.0,246.0,734.0,71.31,66.49,10.0,139.0,583.0,732.0,14.0,154.0,1.72,475.32,0.0,732.0,732.0,7.0,727.0,734.0,0.0,0.95,2.0,0.0,1.0,0.0,8.0,0.0,200.0,0.0,584.0,249.0,44.0,67.0,589.0,249.0,1327.27,26.91,240.0,492.0,732.0,250.0,484.0,734.0,32.79,34.06,4862.0,5800.0,938.0,0.0,0.0,0.0,83.83,0.0,94.0,732.0,638.0,0,0,0,12.84,0.0,72.0,233.0,427.0,732.0,72.0,226.0,16.86,323.89,55.0,677.0,732.0,62.0,672.0,734.0,7.51,8.45,60.0,732.0,672.0,0,0,0,8.2,0.0,1774.0,5019.0,3245.0,0.0,0.0,0.0,35.35,0.0,6.97,-98.63,-100.0,200.0,-4.0,486200.0,9400.0,-90.16,-11.29,6000.0,177400.0,35.35,83.83,91.8,87.16,7.51,2.243547025634191e-06,7.162263764054543e-06,0.40836940836940816,0.5660696181142277,0.20705817480011027,23.63
JAMBI,730.0,855.0,1585.0,659.0,903.0,1562.0,46.06,42.19,4.0,136.0,1445.0,1585.0,22.0,117.0,0.28,1354.7,3.0,1582.0,1585.0,13.0,1549.0,1562.0,0.19,0.83,45.0,13.0,1.0,2.0,46.0,9.0,4500.0,22.22,1399.0,489.0,116.0,132.0,1373.0,488.0,1206.03,27.05,268.0,1317.0,1585.0,266.0,1296.0,1562.0,16.91,17.03,21101.0,30146.0,9045.0,0.0,0.0,0.0,70.0,0.0,116.0,1585.0,1469.0,0,0,0,7.32,0.0,171.0,272.0,1142.0,1585.0,163.0,269.0,14.97,589.22,466.0,1119.0,1585.0,390.0,1172.0,1562.0,29.4,24.97,6.0,1585.0,1579.0,0,0,0,0.38,0.0,4544.0,9459.0,4915.0,0.0,0.0,0.0,48.04,0.0,10.77,-99.75,-76.92,2150.0,0.75,2110100.0,11600.0,-89.21,19.49,600.0,454400.0,48.04,70.0,99.62,92.68,29.4,3.0489391544969315e-06,5.9806568469977105e-06,0.9725829725829729,0.7526191280838124,0.8105872622001653,50.72
JAWA BARAT,2654.0,3303.0,5957.0,1891.0,4066.0,5957.0,44.55,31.74,29.0,118.0,5810.0,5957.0,56.0,119.0,0.5,5005.88,58.0,5899.0,5957.0,54.0,5903.0,5957.0,0.97,0.91,32.0,8.0,26.0,4.0,48.0,12.0,123.08,33.33,5279.0,4685.0,602.0,795.0,5377.0,4569.0,876.91,17.4,747.0,5210.0,5957.0,760.0,5197.0,5957.0,12.54,12.76,4514.0,4702.0,188.0,0.0,0.0,0.0,96.0,0.0,526.0,5957.0,5431.0,0,0,0,8.83,0.0,646.0,1914.0,3397.0,5957.0,645.0,1744.0,19.02,341.57,1354.0,4603.0,5957.0,1217.0,4740.0,5957.0,22.73,20.43,476.0,5957.0,5481.0,0,0,0,7.99,0.0,2793.0,4594.0,1801.0,0.0,0.0,0.0,60.8,0.0,40.35,-99.51,7.41,700.0,-1.71,451400.0,52600.0,-89.16,11.26,47600.0,279300.0,60.8,96.0,92.01,91.17,22.73,3.858773950737165e-06,8.202043675882574e-06,0.42352092352092385,0.7015883744508281,0.6266887234629169,35.04
JAWA TENGAH,3478.0,5085.0,8563.0,2625.0,5937.0,8562.0,40.62,30.66,1.0,182.0,8380.0,8563.0,71.0,129.0,0.01,6637.98,151.0,8412.0,8563.0,158.0,8404.0,8562.0,1.76,1.85,19.0,10.0,17.0,1.0,32.0,16.0,111.76,6.25,7713.0,6485.0,374.0,1429.0,7748.0,6389.0,2062.3,22.37,1213.0,7350.0,8563.0,1385.0,7177.0,8562.0,14.17,16.18,383.0,1077.0,694.0,0.0,0.0,0.0,35.56,0.0,845.0,8563.0,7718.0,0,0,0,9.87,0.0,753.0,2935.0,4875.0,8563.0,753.0,2678.0,15.45,319.75,1366.0,7197.0,8563.0,1310.0,7252.0,8562.0,15.95,15.3,516.0,8563.0,8047.0,0,0,0,6.03,0.0,264.0,809.0,545.0,0.0,0.0,0.0,32.63,0.0,32.5,-99.99,-4.43,1800.0,-12.42,38300.0,84500.0,-91.21,4.27,51600.0,26400.0,32.63,35.56,93.97,90.13,15.95,2.07091766468016e-06,3.038173678274837e-06,0.5649350649350648,0.6664413653261235,0.43975737524124614,33.42
